date;P_mm;Q_inf_LH;Q_ruiss_LH
2024-02-25 18:42:00;0.0;0.0;0.0
2024-02-25 18:44:00;0.0;0.0;0.0
2024-02-25 18:46:00;0.0;0.0;0.0
2024-02-25 18:48:00;0.0;0.0;0.0
2024-02-25 18:50:00;0.0;0.0;0.0
2024-02-25 18:52:00;0.0;0.0;0.0
2024-02-25 18:54:00;0.0;0.0;0.6
2024-02-25 18:56:00;0.0;0.0;0.0
2024-02-25 18:58:00;0.0;0.0;0.0
2024-02-25 19:00:00;0.0;0.0;0.0
2024-02-25 19:02:00;0.0;0.0;0.0
2024-02-25 19:04:00;0.0;0.0;0.6
2024-02-25 19:06:00;0.0;0.0;0.0
2024-02-25 19:08:00;0.0;0.0;0.0
2024-02-25 19:10:00;0.0;0.0;0.0
2024-02-25 19:12:00;0.0;0.0;0.0
2024-02-25 19:14:00;0.0;0.0;0.0
2024-02-25 19:16:00;0.0;0.0;0.0
2024-02-25 19:18:00;0.0;0.0;0.0
2024-02-25 19:20:00;0.0;0.0;0.0
2024-02-25 19:22:00;0.0;0.0;0.0
2024-02-25 19:24:00;0.0;0.0;0.0
2024-02-25 19:26:00;0.0;0.0;0.0
2024-02-25 19:28:00;0.0;0.0;0.6
2024-02-25 19:30:00;0.0;0.0;0.0
2024-02-25 19:32:00;0.0;0.0;0.6
2024-02-25 19:34:00;0.0;0.0;0.0
2024-02-25 19:36:00;0.0;0.0;0.0
2024-02-25 19:38:00;0.0;0.0;0.0
2024-02-25 19:40:00;0.0;0.0;0.0
2024-02-25 19:42:00;0.249;0.0;0.0
2024-02-25 19:44:00;0.0;0.0;0.0
2024-02-25 19:46:00;0.0;0.0;0.0
2024-02-25 19:48:00;0.0;0.0;0.0
2024-02-25 19:50:00;0.249;0.0;0.0
2024-02-25 19:52:00;0.0;0.0;0.0
2024-02-25 19:54:00;0.0;0.0;0.0
2024-02-25 19:56:00;0.0;0.0;0.0
2024-02-25 19:58:00;0.0;0.0;0.0
2024-02-25 20:00:00;0.249;0.0;0.0
