dateP;dateQ;P_mm;Q_ls;year
2022-04-06 12:29:00;2022-04-06 12:29:00;0.0;39.1136904533438;2022
2022-04-06 12:34:00;2022-04-06 12:34:00;0.0;39.7706325863065;2022
2022-04-06 12:39:00;2022-04-06 12:39:00;0.0;40.4345391383128;2022
2022-04-06 12:44:00;2022-04-06 12:44:00;0.0;39.7706325863065;2022
2022-04-06 12:49:00;2022-04-06 12:49:00;0.5;;2022
2022-04-06 12:54:00;2022-04-06 12:54:00;0.5;;2022
2022-04-06 12:59:00;2022-04-06 12:59:00;0.0;;2022
2022-04-06 13:04:00;2022-04-06 13:04:00;0.0;40.4345391383128;2022
2022-04-06 13:09:00;2022-04-06 13:09:00;0.0;;2022
2022-04-06 13:14:00;2022-04-06 13:14:00;0.0;;2022
2022-04-06 13:19:00;2022-04-06 13:19:00;0.0;;2022
2022-04-06 13:24:00;2022-04-06 13:24:00;0.0;39.7706325863065;2022
2022-04-06 13:29:00;2022-04-06 13:29:00;0.0;;2022
2022-04-06 13:34:00;2022-04-06 13:34:00;0.0;40.4345391383128;2022
2022-04-06 13:39:21;2022-04-06 13:39:00;1.0;;2022
2022-04-06 13:44:00;2022-04-06 13:44:00;1.5;41.7832540327896;2022
2022-04-06 13:49:00;2022-04-06 13:49:00;1.0;;2022
2022-04-06 13:54:00;2022-04-06 13:54:00;0.5;42.8130876703033;2022
2022-04-06 13:59:00;2022-04-06 13:59:00;0.5;43.8586128506649;2022
2022-04-06 14:04:00;2022-04-06 14:04:00;0.5;45.2770679355771;2022
2022-04-06 14:09:00;2022-04-06 14:09:00;0.5;44.5643507169326;2022
2022-04-06 14:14:00;2022-04-06 14:14:00;0.5;46.7234489633298;2022
2022-04-06 14:19:00;2022-04-06 14:19:00;0.5;45.9967666399317;2022
2022-04-06 14:24:00;2022-04-06 14:24:00;0.0;;2022
2022-04-06 14:29:00;2022-04-06 14:29:00;0.5;47.0894096488368;2022
2022-04-06 14:34:00;2022-04-06 14:34:00;0.0;48.5707221051399;2022
2022-04-06 14:39:00;2022-04-06 14:39:00;0.5;50.4616895326377;2022
2022-04-06 14:44:00;2022-04-06 14:44:00;0.0;;2022
2022-04-06 14:49:00;2022-04-06 14:49:00;0.0;51.617257112933;2022
2022-04-06 14:54:00;2022-04-06 14:54:00;0.5;;2022
2022-04-06 14:59:58;2022-04-06 14:59:00;0.5;53.182513797756;2022
2022-04-06 15:04:00;2022-04-06 15:04:00;0.0;53.5782047308637;2022
2022-04-06 15:09:00;2022-04-06 15:09:00;0.0;56.8067991671147;2022
2022-04-06 15:14:00;2022-04-06 15:14:00;0.5;58.4631687661659;2022
2022-04-06 15:19:00;2022-04-06 15:19:00;0.0;;2022
2022-04-06 15:24:00;2022-04-06 15:24:00;0.0;60.1476093747227;2022
2022-04-06 15:29:00;2022-04-06 15:29:00;0.0;;2022
2022-04-06 15:34:00;2022-04-06 15:34:00;0.0;63.6007718870195;2022
2022-04-06 15:39:00;2022-04-06 15:39:00;0.0;61.429371697795;2022
2022-04-06 15:44:00;2022-04-06 15:44:00;0.0;62.2926609925359;2022
2022-04-06 15:49:00;2022-04-06 15:49:00;0.0;;2022
2022-04-06 15:54:00;2022-04-06 15:54:00;0.0;63.1629776396531;2022
2022-04-06 15:59:00;2022-04-06 15:59:00;0.0;64.4816335627012;2022
2022-04-06 16:04:00;2022-04-06 16:04:00;0.0;64.9247015243498;2022
2022-04-06 16:09:00;2022-04-06 16:09:00;0.0;66.2644571045267;2022
2022-04-06 16:14:00;2022-04-06 16:14:00;0.0;;2022
2022-04-06 16:19:00;2022-04-06 16:19:00;0.0;67.6200458275502;2022
2022-04-06 16:24:00;2022-04-06 16:24:00;0.0;68.532571388925;2022
2022-04-06 16:29:00;2022-04-06 16:29:00;0.0;;2022
2022-04-06 16:34:00;2022-04-06 16:34:00;0.0;69.9145646833592;2022
2022-04-06 16:39:00;2022-04-06 16:39:00;0.0;;2022
2022-04-06 16:44:00;2022-04-06 16:44:00;0.0;68.0754284558572;2022
2022-04-06 16:49:00;2022-04-06 16:49:00;0.0;;2022
2022-04-06 16:54:00;2022-04-06 16:54:00;0.0;65.3695279240925;2022
2022-04-06 16:59:00;2022-04-06 16:59:00;0.0;;2022
2022-04-06 17:04:00;2022-04-06 17:04:00;0.0;65.3695279240925;2022
2022-04-06 17:09:00;2022-04-06 17:09:00;0.0;;2022
2022-04-06 17:14:00;2022-04-06 17:14:00;0.0;62.7269407637142;2022
2022-04-06 17:19:00;2022-04-06 17:19:00;0.0;;2022
2022-04-06 17:24:00;2022-04-06 17:24:00;0.0;;2022
2022-04-06 17:29:00;2022-04-06 17:29:00;0.0;61.000361640899;2022
2022-04-06 17:34:00;2022-04-06 17:34:00;0.0;60.1476093747227;2022
2022-04-06 17:39:00;2022-04-06 17:39:00;0.0;;2022
2022-04-06 17:44:00;2022-04-06 17:44:00;0.0;;2022
2022-04-06 17:49:00;2022-04-06 17:49:00;0.0;58.8816465944972;2022
2022-04-06 17:54:00;2022-04-06 17:54:00;0.0;58.0464453759286;2022
2022-04-06 17:59:00;2022-04-06 17:59:00;0.0;;2022
2022-04-06 18:04:00;2022-04-06 18:04:00;0.0;57.6314761571187;2022
2022-04-06 18:09:00;2022-04-06 18:09:00;0.0;55.9891356628206;2022
2022-04-06 18:14:00;2022-04-06 18:14:00;0.0;56.8067991671147;2022
2022-04-06 18:19:00;2022-04-06 18:19:00;0.0;;2022
2022-04-06 18:24:00;2022-04-06 18:24:00;0.0;55.1784835109029;2022
2022-04-06 18:29:00;2022-04-06 18:29:00;0.0;54.3748405780284;2022
2022-04-06 18:34:00;2022-04-06 18:34:00;0.0;;2022
2022-04-06 18:39:00;2022-04-06 18:39:00;0.0;;2022
2022-04-06 18:44:00;2022-04-06 18:44:00;0.0;;2022
2022-04-06 18:49:00;2022-04-06 18:49:00;0.0;53.182513797756;2022
2022-04-06 18:54:00;2022-04-06 18:54:00;0.0;52.3963845791562;2022
2022-04-06 18:59:00;2022-04-06 18:59:00;0.0;53.182513797756;2022
2022-04-06 19:04:00;2022-04-06 19:04:00;0.0;52.7885738360757;2022
2022-04-06 19:09:00;2022-04-06 19:09:00;0.0;51.230318370296;2022
2022-04-06 19:14:00;2022-04-06 19:14:00;0.0;;2022
2022-04-06 19:19:00;2022-04-06 19:19:00;0.0;52.0059457603308;2022
2022-04-06 19:24:00;2022-04-06 19:24:00;0.0;51.230318370296;2022
2022-04-06 19:29:00;2022-04-06 19:29:00;0.0;;2022
2022-04-06 19:34:00;2022-04-06 19:34:00;0.0;49.7000571140227;2022
2022-04-06 19:39:00;2022-04-06 19:39:00;0.0;;2022
2022-04-06 19:44:00;2022-04-06 19:44:00;0.0;;2022
2022-04-06 19:49:00;2022-04-06 19:49:00;0.0;50.4616895326377;2022
2022-04-06 19:54:00;2022-04-06 19:54:00;0.0;49.7000571140227;2022
2022-04-06 19:59:00;2022-04-06 19:59:00;0.0;48.9454189811178;2022
2022-04-06 20:04:00;2022-04-06 20:04:00;0.0;49.7000571140227;2022
2022-04-06 20:09:00;2022-04-06 20:09:00;0.0;48.9454189811178;2022
2022-04-06 20:14:00;2022-04-06 20:14:00;0.0;48.1977730005895;2022
2022-04-06 20:19:00;2022-04-06 20:19:00;0.0;;2022
2022-04-06 20:24:00;2022-04-06 20:24:00;0.0;48.9454189811178;2022
2022-04-06 20:29:00;2022-04-06 20:29:00;0.0;48.1977730005895;2022
2022-04-06 20:34:00;2022-04-06 20:34:00;0.0;;2022
2022-04-06 20:39:00;2022-04-06 20:39:00;0.0;47.4571170391046;2022
2022-04-06 20:44:00;2022-04-06 20:44:00;0.0;48.1977730005895;2022
2022-04-06 20:49:00;2022-04-06 20:49:00;0.0;47.0894096488368;2022
2022-04-06 20:54:00;2022-04-06 20:54:00;0.0;;2022
2022-04-06 20:59:00;2022-04-06 20:59:00;0.0;;2022
2022-04-06 21:04:00;2022-04-06 21:04:00;0.0;47.8265714008;2022
2022-04-06 21:09:00;2022-04-06 21:09:00;0.0;46.7234489633298;2022
2022-04-06 21:14:00;2022-04-06 21:14:00;0.0;;2022
2022-04-06 21:19:00;2022-04-06 21:19:00;0.0;;2022
2022-04-06 21:24:00;2022-04-06 21:24:00;0.0;;2022
2022-04-06 21:29:00;2022-04-06 21:29:00;0.0;;2022
2022-04-06 21:34:00;2022-04-06 21:34:00;0.0;45.9967666399317;2022
2022-04-06 21:39:00;2022-04-06 21:39:00;0.0;;2022
2022-04-06 21:44:00;2022-04-06 21:44:00;0.0;;2022
2022-04-06 21:49:00;2022-04-06 21:49:00;0.0;46.7234489633298;2022
2022-04-06 21:54:00;2022-04-06 21:54:00;0.0;45.9967666399317;2022
2022-04-06 21:59:00;2022-04-06 21:59:00;0.0;;2022
2022-04-06 22:04:00;2022-04-06 22:04:00;0.0;45.2770679355771;2022
2022-04-06 22:09:00;2022-04-06 22:09:00;0.0;;2022
2022-04-06 22:14:00;2022-04-06 22:14:00;0.0;;2022
2022-04-06 22:19:00;2022-04-06 22:19:00;0.0;;2022
2022-04-06 22:24:00;2022-04-06 22:24:00;0.0;;2022
2022-04-06 22:29:00;2022-04-06 22:29:00;0.0;45.9967666399317;2022
2022-04-06 22:34:00;2022-04-06 22:34:00;0.0;44.9198367738745;2022
2022-04-06 22:39:00;2022-04-06 22:39:00;0.0;;2022
2022-04-06 22:44:00;2022-04-06 22:44:00;0.0;44.210609498085;2022
2022-04-06 22:49:00;2022-04-06 22:49:00;0.0;44.9198367738745;2022
2022-04-06 22:54:00;2022-04-06 22:54:00;0.0;;2022
2022-04-06 22:59:00;2022-04-06 22:59:00;0.0;44.210609498085;2022
2022-04-06 23:04:00;2022-04-06 23:04:00;0.0;44.210609498085;2022
2022-04-06 23:09:00;2022-04-06 23:09:00;0.0;;2022
2022-04-06 23:14:00;2022-04-06 23:14:00;0.0;44.9198367738745;2022
2022-04-06 23:19:00;2022-04-06 23:19:00;0.0;;2022
2022-04-06 23:24:00;2022-04-06 23:24:00;0.0;44.210609498085;2022
2022-04-06 23:29:00;2022-04-06 23:29:00;0.0;;2022
2022-04-06 23:34:00;2022-04-06 23:34:00;0.0;44.9198367738745;2022
2022-04-06 23:39:00;2022-04-06 23:39:00;0.0;44.210609498085;2022
2022-04-06 23:44:00;2022-04-06 23:44:00;0.0;;2022
2022-04-06 23:49:00;2022-04-06 23:49:00;0.0;;2022
2022-04-06 23:54:00;2022-04-06 23:54:00;0.0;;2022
2022-04-06 23:59:00;2022-04-06 23:59:00;0.0;;2022
2022-04-07 00:04:00;2022-04-07 00:04:00;0.0;44.210609498085;2022
2022-04-07 00:09:00;2022-04-07 00:09:00;0.0;;2022
2022-04-07 00:14:00;2022-04-07 00:14:00;0.0;43.5083605080057;2022
2022-04-07 00:19:00;2022-04-07 00:19:00;0.0;;2022
2022-04-07 00:24:00;2022-04-07 00:24:00;0.0;;2022
2022-04-07 00:29:00;2022-04-07 00:29:00;0.0;44.210609498085;2022
2022-04-07 00:34:00;2022-04-07 00:34:00;0.0;43.5083605080057;2022
2022-04-07 00:39:00;2022-04-07 00:39:00;0.0;;2022
2022-04-07 00:44:00;2022-04-07 00:44:00;0.0;;2022
2022-04-07 00:49:00;2022-04-07 00:49:00;0.0;;2022
2022-04-07 00:54:00;2022-04-07 00:54:00;0.0;;2022
2022-04-07 00:59:00;2022-04-07 00:59:00;0.0;;2022
