dateP;dateQ;P_mm;Q_ls;year
2021-09-18 17:49:23;2021-09-18 17:49:00;1.0;;2021
2021-09-18 17:54:00;2021-09-18 17:54:00;1.0;;2021
2021-09-18 17:59:58;2021-09-18 17:59:00;3.5;;2021
2021-09-18 18:04:44;2021-09-18 18:04:00;3.5;2.83766956838134;2021
2021-09-18 18:09:00;2021-09-18 18:09:00;0.5;3.01164374236416;2021
2021-09-18 18:14:51;2021-09-18 18:14:00;1.5;3.31926134853139;2021
2021-09-18 18:19:54;2021-09-18 18:19:00;2.5;5.21219815302954;2021
2021-09-18 18:24:51;2021-09-18 18:24:00;4.0;;2021
2021-09-18 18:29:56;2021-09-18 18:29:00;5.0;5.8561422293671;2021
2021-09-18 18:34:19;2021-09-18 18:34:00;1.0;6.86936126128755;2021
2021-09-18 18:39:26;2021-09-18 18:39:00;0.5;8.48224947176106;2021
2021-09-18 18:44:00;2021-09-18 18:44:00;0.0;12.7703697533576;2021
2021-09-18 18:49:00;2021-09-18 18:49:00;0.5;15.193956143719;2021
2021-09-18 18:54:00;2021-09-18 18:54:00;0.0;16.8968933994681;2021
2021-09-18 18:59:00;2021-09-18 18:59:00;0.0;15.7505692100757;2021
2021-09-18 19:04:00;2021-09-18 19:04:00;0.0;14.6506879909098;2021
2021-09-18 19:09:00;2021-09-18 19:09:00;0.0;15.0113916556313;2021
2021-09-18 19:14:00;2021-09-18 19:14:00;0.0;15.890533323904;2021
2021-09-18 19:19:00;2021-09-18 19:19:00;0.0;16.8968933994681;2021
2021-09-18 19:24:00;2021-09-18 19:24:00;0.0;21.1161045207443;2021
2021-09-18 19:29:00;2021-09-18 19:29:00;0.0;34.1086164752154;2021
2021-09-18 19:34:00;2021-09-18 19:34:00;0.0;48.9454189811178;2021
2021-09-18 19:39:00;2021-09-18 19:39:00;0.0;58.8816465944972;2021
2021-09-18 19:44:00;2021-09-18 19:44:00;0.0;60.1476093747227;2021
2021-09-18 19:49:00;2021-09-18 19:49:00;0.0;57.2182608430697;2021
2021-09-18 19:54:00;2021-09-18 19:54:00;0.0;53.9756469020657;2021
2021-09-18 19:59:00;2021-09-18 19:59:00;0.0;50.4616895326377;2021
2021-09-18 20:04:00;2021-09-18 20:04:00;0.0;46.359234715917;2021
2021-09-18 20:09:00;2021-09-18 20:09:00;0.0;44.210609498085;2021
2021-09-18 20:14:00;2021-09-18 20:14:00;0.0;40.769104738124;2021
2021-09-18 20:19:00;2021-09-18 20:19:00;0.0;39.1136904533438;2021
2021-09-18 20:24:00;2021-09-18 20:24:00;0.5;37.501790454253;2021
2021-09-18 20:29:00;2021-09-18 20:29:00;0.0;36.2435783406771;2021
2021-09-18 20:34:00;2021-09-18 20:34:00;0.0;33.8105692753837;2021
2021-09-18 20:39:00;2021-09-18 20:39:00;0.0;31.7728330098689;2021
2021-09-18 20:44:00;2021-09-18 20:44:00;0.0;30.3693375820924;2021
2021-09-18 20:49:00;2021-09-18 20:49:00;0.0;29.8200711443087;2021
2021-09-18 20:54:00;2021-09-18 20:54:00;0.0;28.74232379254;2021
2021-09-18 20:59:00;2021-09-18 20:59:00;0.0;27.4340904599517;2021
2021-09-18 21:04:00;2021-09-18 21:04:00;0.0;26.4186436795795;2021
2021-09-18 21:09:00;2021-09-18 21:09:00;0.0;25.6752123276244;2021
2021-09-18 21:14:00;2021-09-18 21:14:00;0.0;24.9473333185187;2021
2021-09-18 21:19:00;2021-09-18 21:19:00;0.0;24.0010080619214;2021
2021-09-18 21:24:00;2021-09-18 21:24:00;0.0;23.0823015481676;2021
2021-09-18 21:29:00;2021-09-18 21:29:00;0.0;;2021
2021-09-18 21:34:00;2021-09-18 21:34:00;0.0;;2021
2021-09-18 21:39:00;2021-09-18 21:39:00;0.0;22.4113861961768;2021
2021-09-18 21:44:00;2021-09-18 21:44:00;0.0;21.540971415733;2021
2021-09-18 21:49:00;2021-09-18 21:49:00;0.0;;2021
2021-09-18 21:54:00;2021-09-18 21:54:00;0.0;20.6981284447999;2021
2021-09-18 21:59:00;2021-09-18 21:59:00;0.0;;2021
2021-09-18 22:04:00;2021-09-18 22:04:00;0.0;20.2870410545667;2021
2021-09-18 22:09:00;2021-09-18 22:09:00;0.0;19.6833215882583;2021
2021-09-18 22:14:00;2021-09-18 22:14:00;0.0;19.0950896648;2021
2021-09-18 22:19:00;2021-09-18 22:19:00;0.0;;2021
2021-09-18 22:24:00;2021-09-18 22:24:00;0.0;18.7115356840778;2021
2021-09-18 22:29:00;2021-09-18 22:29:00;0.0;18.1491003320363;2021
2021-09-18 22:34:00;2021-09-18 22:34:00;0.0;17.7827373989254;2021
2021-09-18 22:39:00;2021-09-18 22:39:00;0.0;;2021
2021-09-18 22:44:00;2021-09-18 22:44:00;0.0;17.2460786183009;2021
2021-09-18 22:49:00;2021-09-18 22:49:00;0.0;16.8968933994681;2021
2021-09-18 22:54:00;2021-09-18 22:54:00;0.0;16.5545755330132;2021
2021-09-18 22:59:00;2021-09-18 22:59:00;0.0;16.0539703523729;2021
2021-09-18 23:04:00;2021-09-18 23:04:00;0.0;15.890533323904;2021
2021-09-18 23:09:00;2021-09-18 23:09:00;0.0;15.3780033999787;2021
2021-09-18 23:14:00;2021-09-18 23:14:00;0.0;;2021
2021-09-18 23:19:31;2021-09-18 23:19:00;0.5;;2021
2021-09-18 23:24:00;2021-09-18 23:24:00;0.0;15.0113916556313;2021
2021-09-18 23:29:00;2021-09-18 23:29:00;0.0;14.6506879909098;2021
2021-09-18 23:34:00;2021-09-18 23:34:00;0.0;;2021
2021-09-18 23:39:00;2021-09-18 23:39:00;0.0;14.120609548481;2021
2021-09-18 23:44:00;2021-09-18 23:44:00;0.0;;2021
2021-09-18 23:49:00;2021-09-18 23:49:00;0.0;13.7744748935337;2021
2021-09-18 23:54:00;2021-09-18 23:54:00;0.0;;2021
2021-09-18 23:59:00;2021-09-18 23:59:00;0.0;13.2660344058117;2021
2021-09-19 00:04:00;2021-09-19 00:04:00;0.0;13.0994009820956;2021
