dateP;dateQ;P_mm;Q_ls
2024-04-30 14:04:00;2024-04-30 14:04:00;0.0;400.361241729688
2024-04-30 14:09:00;2024-04-30 14:09:00;0.0;408.573793862164
2024-04-30 14:14:00;2024-04-30 14:14:00;0.0;416.868470737756
2024-04-30 14:19:00;2024-04-30 14:19:00;0.0;421.887262910601
2024-04-30 14:24:00;2024-04-30 14:24:00;0.0;
2024-04-30 14:29:00;2024-04-30 14:29:00;0.0;418.537992128406
2024-04-30 14:34:00;2024-04-30 14:34:00;0.0;411.880386309905
2024-04-30 14:39:00;2024-04-30 14:39:00;0.0;
2024-04-30 14:44:00;2024-04-30 14:44:00;0.0;406.923063047253
2024-04-30 14:49:00;2024-04-30 14:49:00;0.0;397.100913698364
2024-04-30 14:54:00;2024-04-30 14:54:00;0.0;
2024-04-30 14:59:00;2024-04-30 14:59:00;0.0;387.402450052727
2024-04-30 15:04:00;2024-04-30 15:04:00;0.0;387.402450052727
2024-04-30 15:09:00;2024-04-30 15:09:00;0.0;371.514361830315
2024-04-30 15:14:00;2024-04-30 15:14:00;0.0;366.815459063392
2024-04-30 15:19:00;2024-04-30 15:19:00;0.0;
2024-04-30 15:24:00;2024-04-30 15:24:00;0.0;359.053446951704
2024-04-30 15:29:00;2024-04-30 15:29:00;0.0;351.378514805157
2024-04-30 15:34:00;2024-04-30 15:34:00;0.0;339.280366998316
2024-04-30 15:39:00;2024-04-30 15:39:00;0.0;333.315443848739
2024-04-30 15:44:00;2024-04-30 15:44:00;0.0;
2024-04-30 15:49:00;2024-04-30 15:49:00;0.0;321.554532185621
2024-04-30 15:54:00;2024-04-30 15:54:00;0.0;315.758796923423
2024-04-30 15:59:00;2024-04-30 15:59:00;0.0;305.752648558537
2024-04-30 16:04:00;2024-04-30 16:04:00;0.0;308.593805641527
2024-04-30 16:09:00;2024-04-30 16:09:00;0.0;302.925709177727
2024-04-30 16:14:00;2024-04-30 16:14:00;0.0;291.760445240476
2024-04-30 16:19:00;2024-04-30 16:19:00;0.0;
2024-04-30 16:24:00;2024-04-30 16:24:00;0.0;289.004831793703
2024-04-30 16:29:00;2024-04-30 16:29:00;0.0;284.898252828797
2024-04-30 16:34:00;2024-04-30 16:34:00;0.0;279.473000890159
2024-04-30 16:39:00;2024-04-30 16:39:00;0.0;
2024-04-30 16:44:00;2024-04-30 16:44:00;0.0;274.105221232178
2024-04-30 16:49:00;2024-04-30 16:49:00;0.0;271.442923078957
2024-04-30 16:54:00;2024-04-30 16:54:00;0.0;266.161589265095
2024-04-30 16:59:00;2024-04-30 16:59:00;0.0;258.347982198888
2024-04-30 17:04:00;2024-04-30 17:04:00;0.0;259.641202399762
2024-04-30 17:09:00;2024-04-30 17:09:00;0.0;255.772414797544
2024-04-30 17:14:00;2024-04-30 17:14:00;0.0;259.641202399762
2024-04-30 17:19:00;2024-04-30 17:19:00;0.0;253.211357920243
2024-04-30 17:24:00;2024-04-30 17:24:00;0.0;
2024-04-30 17:29:00;2024-04-30 17:29:00;0.0;248.132839050609
2024-04-30 17:34:00;2024-04-30 17:34:00;0.0;251.936275874425
2024-04-30 17:39:00;2024-04-30 17:39:00;0.0;243.112552215654
2024-04-30 17:44:00;2024-04-30 17:44:00;0.0;245.615408714692
2024-04-30 17:49:00;2024-04-30 17:49:00;0.0;
2024-04-30 17:54:00;2024-04-30 17:54:00;0.0;243.112552215654
2024-04-30 17:59:00;2024-04-30 17:59:00;0.0;
2024-04-30 18:04:00;2024-04-30 18:04:00;0.0;239.385628035452
2024-04-30 18:09:00;2024-04-30 18:09:00;0.0;234.467551954207
2024-04-30 18:14:00;2024-04-30 18:14:00;0.0;236.919275377025
2024-04-30 18:19:00;2024-04-30 18:19:00;0.0;234.467551954207
2024-04-30 18:24:00;2024-04-30 18:24:00;0.0;
2024-04-30 18:29:00;2024-04-30 18:29:00;0.0;
2024-04-30 18:34:00;2024-04-30 18:34:00;0.0;230.817431260956
2024-04-30 18:39:00;2024-04-30 18:39:00;0.0;234.467551954207
2024-04-30 18:44:00;2024-04-30 18:44:00;0.0;226.001953724537
2024-04-30 18:49:00;2024-04-30 18:49:00;0.0;228.402350175576
2024-04-30 18:54:00;2024-04-30 18:54:00;0.0;230.817431260956
2024-04-30 18:59:00;2024-04-30 18:59:00;0.0;
2024-04-30 19:04:00;2024-04-30 19:04:00;0.0;223.616257736047
2024-04-30 19:09:00;2024-04-30 19:09:00;0.0;
2024-04-30 19:14:00;2024-04-30 19:14:00;0.0;228.402350175576
2024-04-30 19:19:00;2024-04-30 19:19:00;0.0;222.428927361573
2024-04-30 19:24:00;2024-04-30 19:24:00;0.0;
2024-04-30 19:29:00;2024-04-30 19:29:00;0.0;218.88903045955
2024-04-30 19:34:00;2024-04-30 19:34:00;0.0;223.616257736047
2024-04-30 19:39:00;2024-04-30 19:39:00;0.0;220.065311744799
2024-04-30 19:44:00;2024-04-30 19:44:00;0.0;
2024-04-30 19:49:00;2024-04-30 19:49:00;0.0;
2024-04-30 19:54:00;2024-04-30 19:54:00;0.0;216.547530827961
2024-04-30 19:59:00;2024-04-30 19:59:00;0.0;220.065311744799
2024-04-30 20:04:00;2024-04-30 20:04:00;0.0;211.908838719144
2024-04-30 20:09:00;2024-04-30 20:09:00;0.0;215.382316438672
