dateP;dateQ;P_mm;Q_ls;year
2022-03-02 09:14:03;2022-03-02 09:14:00;0.5;;2022
2022-03-02 09:19:00;2022-03-02 09:19:00;0.0;19.0950896648;2022
2022-03-02 09:24:00;2022-03-02 09:24:00;0.0;;2022
2022-03-02 09:29:00;2022-03-02 09:29:00;0.0;19.4855237979;2022
2022-03-02 09:34:00;2022-03-02 09:34:00;0.0;;2022
2022-03-02 09:39:00;2022-03-02 09:39:00;0.0;;2022
2022-03-02 09:44:00;2022-03-02 09:44:00;0.0;;2022
2022-03-02 09:49:00;2022-03-02 09:49:00;0.0;19.0950896648;2022
2022-03-02 09:54:00;2022-03-02 09:54:00;0.0;19.4855237979;2022
2022-03-02 09:59:00;2022-03-02 09:59:00;0.0;;2022
2022-03-02 10:04:00;2022-03-02 10:04:00;0.0;19.4855237979;2022
2022-03-02 10:09:00;2022-03-02 10:09:00;0.0;;2022
2022-03-02 10:14:00;2022-03-02 10:14:00;0.0;;2022
2022-03-02 10:19:00;2022-03-02 10:19:00;0.0;;2022
2022-03-02 10:24:00;2022-03-02 10:24:00;0.0;;2022
2022-03-02 10:29:00;2022-03-02 10:29:00;0.0;19.0950896648;2022
2022-03-02 10:34:00;2022-03-02 10:34:00;0.0;;2022
2022-03-02 10:39:00;2022-03-02 10:39:00;0.0;;2022
2022-03-02 10:44:00;2022-03-02 10:44:00;0.0;19.4855237979;2022
2022-03-02 10:49:00;2022-03-02 10:49:00;0.0;;2022
2022-03-02 10:54:00;2022-03-02 10:54:00;0.0;19.0950896648;2022
2022-03-02 10:59:00;2022-03-02 10:59:00;0.0;19.4855237979;2022
2022-03-02 11:04:00;2022-03-02 11:04:00;0.0;19.0950896648;2022
2022-03-02 11:09:00;2022-03-02 11:09:00;0.0;;2022
2022-03-02 11:14:00;2022-03-02 11:14:00;0.0;19.4855237979;2022
2022-03-02 11:19:00;2022-03-02 11:19:00;0.0;;2022
2022-03-02 11:24:00;2022-03-02 11:24:00;0.0;;2022
2022-03-02 11:29:00;2022-03-02 11:29:00;0.0;;2022
2022-03-02 11:34:00;2022-03-02 11:34:00;0.0;;2022
2022-03-02 11:39:00;2022-03-02 11:39:00;0.0;;2022
2022-03-02 11:44:00;2022-03-02 11:44:00;0.0;;2022
2022-03-02 11:49:00;2022-03-02 11:49:00;0.0;;2022
2022-03-02 11:54:00;2022-03-02 11:54:00;0.0;;2022
2022-03-02 11:59:00;2022-03-02 11:59:00;0.0;;2022
2022-03-02 12:04:00;2022-03-02 12:04:00;0.0;19.2894465789694;2022
2022-03-02 12:09:00;2022-03-02 12:09:00;0.0;;2022
2022-03-02 12:14:00;2022-03-02 12:14:00;0.0;19.6833215882583;2022
2022-03-02 12:19:00;2022-03-02 12:19:00;0.0;19.2894465789694;2022
2022-03-02 12:24:00;2022-03-02 12:24:00;0.0;;2022
2022-03-02 12:29:00;2022-03-02 12:29:00;0.0;;2022
2022-03-02 12:34:00;2022-03-02 12:34:00;0.0;;2022
2022-03-02 12:39:00;2022-03-02 12:39:00;0.0;;2022
2022-03-02 12:44:00;2022-03-02 12:44:00;0.0;;2022
2022-03-02 12:49:00;2022-03-02 12:49:00;0.0;;2022
2022-03-02 12:54:00;2022-03-02 12:54:00;0.0;;2022
2022-03-02 12:59:00;2022-03-02 12:59:00;0.0;;2022
2022-03-02 13:04:00;2022-03-02 13:04:00;0.0;19.2894465789694;2022
2022-03-02 13:09:00;2022-03-02 13:09:00;0.0;;2022
2022-03-02 13:14:00;2022-03-02 13:14:00;0.0;;2022
2022-03-02 13:19:00;2022-03-02 13:19:00;0.0;;2022
2022-03-02 13:24:00;2022-03-02 13:24:00;0.0;;2022
2022-03-02 13:29:00;2022-03-02 13:29:00;0.0;;2022
2022-03-02 13:34:00;2022-03-02 13:34:00;0.0;18.902452788725;2022
2022-03-02 13:39:00;2022-03-02 13:39:00;0.0;;2022
2022-03-02 13:44:00;2022-03-02 13:44:00;0.0;19.2894465789694;2022
2022-03-02 13:49:00;2022-03-02 13:49:00;0.0;;2022
2022-03-02 13:54:00;2022-03-02 13:54:00;0.0;;2022
2022-03-02 13:59:00;2022-03-02 13:59:00;0.0;;2022
2022-03-02 14:04:00;2022-03-02 14:04:00;0.0;19.0950896648;2022
2022-03-02 14:09:00;2022-03-02 14:09:00;0.0;;2022
2022-03-02 14:14:00;2022-03-02 14:14:00;0.0;;2022
2022-03-02 14:19:00;2022-03-02 14:19:00;0.0;;2022
2022-03-02 14:24:00;2022-03-02 14:24:00;0.0;;2022
2022-03-02 14:29:00;2022-03-02 14:29:00;0.0;19.4855237979;2022
2022-03-02 14:34:00;2022-03-02 14:34:00;0.0;;2022
2022-03-02 14:39:00;2022-03-02 14:39:00;0.0;;2022
2022-03-02 14:44:00;2022-03-02 14:44:00;0.0;;2022
2022-03-02 14:49:00;2022-03-02 14:49:00;0.0;;2022
2022-03-02 14:54:00;2022-03-02 14:54:00;0.0;;2022
2022-03-02 14:59:00;2022-03-02 14:59:00;0.0;;2022
2022-03-02 15:04:00;2022-03-02 15:04:00;0.0;19.2894465789694;2022
2022-03-02 15:09:00;2022-03-02 15:09:00;0.0;;2022
