dateP;dateQ;P_mm;Q_ls;year
2024-06-09 18:39:00;2024-06-09 18:39:00;0.5;;2024
2024-06-09 18:44:00;2024-06-09 18:44:00;0.0;;2024
2024-06-09 18:49:00;2024-06-09 18:49:00;0.0;;2024
2024-06-09 18:54:00;2024-06-09 18:54:00;0.0;;2024
2024-06-09 18:59:00;2024-06-09 18:59:00;0.0;;2024
2024-06-09 19:04:00;2024-06-09 19:04:00;0.0;;2024
2024-06-09 19:09:00;2024-06-09 19:09:00;0.0;;2024
2024-06-09 19:14:00;2024-06-09 19:14:00;0.0;;2024
2024-06-09 19:19:00;2024-06-09 19:19:00;0.0;;2024
2024-06-09 19:24:00;2024-06-09 19:24:00;0.5;;2024
2024-06-09 19:29:00;2024-06-09 19:29:00;0.0;;2024
2024-06-09 19:34:12;2024-06-09 19:34:00;0.5;;2024
