year;event_id;i0;i1;hp_mm;hr_mm;P_ante_mm;Q0_Ls;V_excess_m3;preflow_class;t_start;t_end;t_peak;delta_hours_prev_end_to_start;delta_hours_prev_peak_to_peak;sequence_id;rank_in_sequence;sequence_size;n_prev_in_sequence;memory_class
2020;1;2571;15156;136.5;21.702810564073456;0.0;17.5042485697852;17579.2765568995;très humide (>15 L/s);2020-01-09 22:19:00;2020-02-22 15:04:00;2020-01-28 05:49:00;;;1;1;1;0;début série
2020;2;16023;22863;86.0;12.849040731605104;0.0;15.3860616831237;10407.722992600133;très humide (>15 L/s);2020-02-25 15:19:00;2020-03-20 09:19:00;2020-03-05 15:34:00;72.25;897.75;2;1;1;0;isolé & sec
2020;3;23804;26316;14.5;0.08426654526202028;0.0;15.7505692100757;68.25590166223643;très humide (>15 L/s);2020-03-23 15:44:00;2020-04-01 09:04:00;2020-03-23 17:44:00;78.41666666666667;434.1666666666667;3;1;1;0;isolé & sec
2020;4;31431;36706;96.5;4.596607257005041;0.0;5.57372984523275;3723.2518781740832;humide (5–15 L/s);2020-04-19 03:19:00;2020-05-07 10:54:00;2020-04-28 02:04:00;426.25;848.3333333333334;4;1;2;0;isolé & sec
2020;5;37421;40814;120.0;24.963047560170526;0.0;15.5635391726758;20220.068523738126;très humide (>15 L/s);2020-05-09 22:29:00;2020-05-21 17:14:00;2020-05-13 15:54:00;59.583333333333336;373.8333333333333;4;2;2;1;enchaîné, peu de Pante
2020;6;44471;49785;436.0;209.24686133091896;0.0;8.73197169614137;169489.95767804436;humide (5–15 L/s);2020-06-03 09:59:00;2020-06-21 20:49:00;2020-06-12 03:04:00;304.75;707.1666666666666;5;1;1;0;isolé & sec
2020;7;52594;54072;4.0;0.020059647293598264;0.0;11.3584787759299;16.248314307814596;humide (5–15 L/s);2020-07-01 14:54:00;2020-07-06 18:04:00;2020-07-01 17:09:00;234.08333333333334;470.0833333333333;6;1;1;0;isolé & sec
2020;8;58427;60000;2.0;0.001967315706960855;0.0;2.03703835277194;1.5935257226382926;sec (1–5 L/s);2020-07-21 20:59:00;2020-07-27 08:04:00;2020-07-23 11:49:00;362.9166666666667;522.6666666666666;7;1;1;0;isolé & sec
2020;9;64801;67176;39.0;0.39889218888190453;0.0;0.920453268756432;323.1026729943427;très sec (Q0 < 1 L/s);2020-08-13 00:09:00;2020-08-21 06:04:00;2020-08-13 17:09:00;400.0833333333333;509.3333333333333;8;1;1;0;isolé & sec
2020;10;72670;72816;11.5;0.011536062208113127;0.0;0.780861777270704;9.344210388571634;très sec (Q0 < 1 L/s);2020-09-09 07:54:00;2020-09-09 20:04:00;2020-09-09 14:49:00;457.8333333333333;645.6666666666666;9;1;1;0;isolé & sec
2020;11;75447;81428;354.5;64.41972460593313;2.0;0.751249465468472;52179.97693080583;très sec (Q0 < 1 L/s);2020-09-18 23:19:00;2020-10-09 17:44:00;2020-09-19 09:34:00;219.25;234.75;10;1;1;0;isolé & sec
2020;12;82561;82628;1.0;9.88293756051851e-05;0.0;28.74232379254;0.08005179424019992;très humide (>15 L/s);2020-10-13 16:09:00;2020-10-13 21:44:00;2020-10-13 17:44:00;94.41666666666667;584.1666666666666;11;1;2;0;isolé & sec
2020;13;82787;87076;165.5;61.0577917954764;1.0;26.6699114508644;49456.811354335885;très humide (>15 L/s);2020-10-14 10:59:00;2020-10-29 08:24:00;2020-10-23 01:29:00;13.25;223.75;11;2;2;1;enchaîné, peu de Pante
2020;14;89332;91459;100.0;28.43121656520215;0.0;20.9062552637249;23029.285417813742;très humide (>15 L/s);2020-11-06 04:24:00;2020-11-13 13:39:00;2020-11-08 03:19:00;188.0;385.8333333333333;12;1;2;0;isolé & sec
2020;15;91559;92738;41.0;2.114482383423025;0.0;47.0894096488368;1712.7307305726504;très humide (>15 L/s);2020-11-13 21:59:00;2020-11-18 00:14:00;2020-11-16 00:09:00;8.333333333333334;188.83333333333334;12;2;2;1;enchaîné, peu de Pante
2020;16;94784;102658;204.5;94.81941150208357;0.0;24.9473333185187;76803.72331668768;très humide (>15 L/s);2020-11-25 02:44:00;2020-12-22 10:54:00;2020-12-20 02:39:00;170.5;818.5;13;1;2;0;isolé & sec
2020;17;103031;103361;6.5;0.0;0.5;92.0088260798146;0.0;très humide (>15 L/s);2020-12-23 17:59:00;2020-12-24 21:29:00;2020-12-23 18:04:00;31.083333333333332;87.41666666666667;13;2;2;1;enchaîné, peu de Pante
2021;1;3320;16764;156.5;84.37122080434105;0.0;12.6079604518047;68340.68885151624;humide (5–15 L/s);2021-01-12 12:44:00;2021-02-28 05:04:00;2021-01-20 22:19:00;447.25;676.25;14;1;1;0;isolé & sec
2021;2;18739;22115;10.0;0.0979010731142846;0.0;21.7559895870357;79.29986922257054;très humide (>15 L/s);2021-03-07 01:39:00;2021-03-18 18:59:00;2021-03-07 07:49:00;164.58333333333334;1089.5;15;1;1;0;isolé & sec
